type_source,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Other vegetation,6115.497630282287,7046.915646930827,7362.686721323915,7321.586845571302,7317.878029405332,7562.672658639967,7724.253039424653,7862.530688812454,7867.87682533532,7867.9286038133305,7887.568212953176
Broadleaved,627259.7859777963,627976.9978381912,630358.0020038581,631182.2357696288,635696.9153841148,641728.3549746472,641332.956086776,645453.7037368582,643437.8390196548,642378.8222791124,641282.8107133593
Conifer,1045082.553495926,985055.7605835642,926312.367580404,895328.4942379788,860863.5940537134,858477.250102204,834278.8987417883,807326.135101224,760591.9634347367,739573.9039838521,707821.9380255033
Low density,7036.1663281708425,8004.219600277932,8343.239338899999,8467.560662327796,8447.980825713139,8468.18508660718,8493.8239146521,8525.91868988342,8502.64397861165,8498.921958433235,8501.720328669053
Mixed mainly broadleaved,27237.35043403475,27319.410741254917,28315.3911216167,28355.67760561876,29325.351519602817,30080.772766555237,30225.612485170343,30397.248574690268,30347.773223660835,30331.58567542181,30335.421353779064
Mixed mainly conifer,31382.456589276808,31359.05565639672,32065.826522480333,31979.63747968258,32164.68229043192,32304.976928924014,32190.594025774644,32031.378308081978,31705.181545325722,31622.60071818158,31460.082058353033
Young trees,176336.1143559172,186324.71897242477,186276.23436961544,189587.58664853874,184957.96481321115,176937.84225179275,175674.57868703257,175966.69880415077,174682.65794820388,173575.32470212464,174035.73239197116
Shrub,6767.543191943303,6836.464831700853,6794.733099928686,6823.417285809196,6745.32880340114,6511.830239744177,6473.403256532458,6421.692481443815,6400.681691378528,6385.323711872392,6379.33686863601
Cloud \ shadow,29.917733738768764,31.84860005805422,31.848606084928843,26.634197531928656,26.63419150505403,1.4035416799224365,1.4035416799295064,1.4035416799224365,1.4035416799177434,1.4035416799177434,1.4035416799177434
Uncertain,9.33168669405142,9.415710832701194,214.52436224731693,350.70052491186686,310.3153651177705,186.87984260465151,186.87984190506282,186.87984190505145,186.21800596445638,186.21800697395685,186.21800667395814
Grassland,37190.66211481491,37598.72103707855,37684.32190141464,37553.94497731871,37070.84469989867,36566.00189827082,36464.21137709649,36404.46262129296,36375.779693226206,36377.907061054626,36375.320311438
Open water,3317.6607186871693,3303.5358928506334,3330.2589891322386,3323.0827478343385,3341.1746142871516,3359.2235976609445,3368.5812923684466,3400.241972218967,3393.365609409748,3395.157667502709,3398.8724003195093
Bare area,12209.011616258871,12191.529775842311,12215.639343518744,12136.612638322016,11903.50847878019,11668.44815969232,11624.858758760116,11619.019657193687,11619.12088081459,11619.670258788436,11615.087743534288
Agriculture land,3147.4345859624173,3146.167911020671,3173.8669840800444,3184.40412041314,3244.53093287069,3247.546244266663,3255.511232563946,3301.450120674544,3301.45011943146,3303.6042538209463,3301.539119854347
Felled,135154.6852979696,199833.3339642803,256035.81265913713,284003.26558779547,317476.1413666502,320574.1516237756,350385.30050839315,383639.2593581717,441293.2715371882,468615.0023740759,497126.58735773404
Ground prep,45771.69026603044,53487.095119296704,52432.921141127445,53678.457277686655,51030.23231733138,49233.4581513137,49447.40348413555,51240.61972495298,52437.41363558173,52429.9760022417,53586.75574379252
Urban,1050.1609025687926,1065.513410155677,1109.8991172132658,1034.008130936043,1145.0162481841694,1223.8964950421025,1250.9290885685282,1349.867592805218,1353.537204638913,1439.7905755742377,1386.920479918335
Coppice,2305.579212728282,2370.0122354719347,2505.195909899484,2541.7004753554834,2951.9647007171516,3371.305611211583,3167.5440002440596,2970.832746933829,2793.3817969516667,2644.012241664436,2593.9863488084375
Coppice with standards,124.79445058289848,124.79445007179861,123.53215980104855,123.53215980104855,302.56395740329157,292.1259247025915,290.4869784061094,281.7129711722373,272.78798650604625,269.3099489004913,269.30994890049135
Quarry,429.1184812216037,428.3448931062402,596.6958708566152,602.9998181190645,625.4399691505088,625.3835905028598,633.5753909331671,637.6432083677134,640.5521841982229,643.576254491707,645.1169542514435
Powerline,38.77280319950989,36.928259199511096,43.38573036481194,43.38571268666218,69.1772834601092,69.75153482045906,69.75153427599635,69.75153526460912,68.69888592382216,,69.22294543994167
Road,1552.6144783324537,1570.6009420166097,1714.9944007655786,1707.3427396358013,1839.8029520311418,1865.656690872792,1929.403028665555,1930.9787512322064,1932.2627353956696,1938.858889922693,1938.8588952701189
